what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1665338923145
java.vm.specification.version,sysinfo,,,"1.0",1665338923145
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1665338923145
java.vm.version,sysinfo,,,"19.0-b09",1665338923145
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1665338923239
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1665338923254
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1665338923301
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1665338923348
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1665338924802
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1665338925332
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1665338925426
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1665338925442
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1665338925817
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1665338925848
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1665338926004
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1665338926239
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1665338926364
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1665338928286
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1665338928395
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1665338928395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1665338930819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1665338936454
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1665338945182
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1665338950696
